dataTime,time_Id,dataset_Id
"2008-01",0,0
"2008-02",1,0
"2008-03",2,0
"2008-04",3,0
"2008-05",4,0
"2008-06",5,0
"2008-07",6,0
"2008-08",7,0
"2008-09",8,0
"2008-10",9,0
"2008-11",10,0
"2008-12",11,0
